,年度,年月日,カテゴリ,節,H_team,A_team,スコア,スタジアム,K/O時刻,入場者数,インターネット中継・TV放送
59,2012,20120320,J2,４,モンテディオ山形,ヴァンフォーレ甲府,2-1,ＮＤスタ,13:04,5736.0,スカパー／ｅ２／スカパー光
60,2012,20120320,J2,４,ザスパクサツ群馬,徳島ヴォルティス,0-0,正田スタ,13:04,2903.0,スカパー／ｅ２（録）／スカパー光
61,2012,20120320,J2,４,ＦＣ町田ゼルビア,ロアッソ熊本,1-0,町田,13:04,4351.0,スカパー／ｅ２（録）／スカパー光
62,2012,20120320,J2,４,大分トリニータ,ファジアーノ岡山,1-0,大銀ド,13:05,7113.0,スカパー／ｅ２／スカパー光
63,2012,20120320,J2,４,ギラヴァンツ北九州,水戸ホーリーホック,1-0,本城,16:03,2558.0,スカパー／ｅ２（録）／スカパー光
64,2012,20120320,J2,４,湘南ベルマーレ,ＦＣ岐阜,2-1,ＢＭＷス,16:04,6065.0,スカパー／ｅ２／スカパー光
65,2012,20120320,J2,４,愛媛ＦＣ,松本山雅ＦＣ,3-0,ニンスタ,16:04,3598.0,スカパー／ｅ２／スカパー光
66,2012,20120320,J2,４,栃木ＳＣ,カターレ富山,0-0,栃木グ,19:03,2446.0,スカパー／ｅ２／スカパー光／とちぎテレビ（録）
67,2012,20120320,J2,４,横浜ＦＣ,東京ヴェルディ,0-0,ニッパ球,19:03,3549.0,スカパー／ｅ２／スカパー光
68,2012,20120320,J2,４,ガイナーレ鳥取,京都サンガF.C.,2-1,とりスタ,19:03,2781.0,スカパー／ｅ２／スカパー光
69,2012,20120324,J1,３,ベガルタ仙台,大宮アルディージャ,4-1,ユアスタ,13:03,11831.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）
70,2012,20120324,J1,３,サンフレッチェ広島,鹿島アントラーズ,2-0,広島ビ,13:04,14349.0,スカパー／ｅ２／スカパー光
71,2012,20120324,J1,３,川崎フロンターレ,セレッソ大阪,0-1,等々力,14:04,14777.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
72,2012,20120324,J1,３,ヴィッセル神戸,ＦＣ東京,0-2,ホームズ,14:04,11839.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
73,2012,20120324,J1,３,サガン鳥栖,横浜Ｆ・マリノス,1-0,ベアスタ,15:04,10611.0,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
74,2012,20120324,J1,３,北海道コンサドーレ札幌,浦和レッズ,1-2,札幌ド,16:03,20192.0,スカパー／ｅ２／スカパー光
75,2012,20120324,J1,３,柏レイソル,清水エスパルス,2-1,柏,19:04,12209.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
76,2012,20120324,J2,５,水戸ホーリーホック,松本山雅ＦＣ,0-0,Ｋｓスタ,13:04,2952.0,スカパー／ｅ２／スカパー光
77,2012,20120325,J1,３,名古屋グランパス,アルビレックス新潟,2-1,瑞穂陸,16:03,10603.0,スカパー／ｅ２／スカパー光
78,2012,20120325,J1,３,ガンバ大阪,ジュビロ磐田,1-2,万博,19:03,15072.0,スカパー／ｅ２／スカパー光
79,2012,20120325,J2,５,ファジアーノ岡山,モンテディオ山形,2-1,カンスタ,13:03,5762.0,スカパー／ｅ２／スカパー光
80,2012,20120325,J2,５,アビスパ福岡,ガイナーレ鳥取,4-0,レベスタ,13:03,4017.0,スカパー／ｅ２／スカパー光
81,2012,20120325,J2,５,カターレ富山,ギラヴァンツ北九州,2-3,富山,13:04,1692.0,スカパー／ｅ２／スカパー光
