,第n回,種別,No,開催日,試合結果,くじ結果,当選金_1,当選金_2,当選金_3,次回への繰越金_1,次回への繰越金_2,次回への繰越金_3,当せん口数_1,当せん口数_2,当せん口数_3,販売開始日,販売終了日,結果発表日,払戻開始日,払戻期限,ホーム,アウェイ
83,554,toto,5,20120324,1-0,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),サガン鳥栖,横浜Ｆ・マリノス
84,554,toto,6,20120324,1-2,2,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),北海道コンサドーレ札幌,浦和レッズ
85,554,toto,7,20120324,2-1,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),柏レイソル,清水エスパルス
86,554,toto,8,20120325,2-1,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),名古屋グランパス,アルビレックス新潟
87,554,toto,9,20120325,1-2,2,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ガンバ大阪,ジュビロ磐田
88,554,toto,10,20120325,0-2,2,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ＦＣ岐阜,大分トリニータ
89,554,toto,11,20120325,3-0,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ジェフユナイテッド千葉,徳島ヴォルティス
90,554,toto,12,20120325,2-0,1,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),東京ヴェルディ,ザスパクサツ群馬
91,554,toto,13,20120325,3-3,0,1460572,11250,1170,0,0,0,40,1109,10729,2012年03月17日(土),2012年03月24日(土),2012年03月25日(日),2012年03月27日(火),2013年03月26日(火),ロアッソ熊本,湘南ベルマーレ
92,554,mini toto-A組,1,20120324,4-1,1,7371,0,0,0,0,0,1291,0,0,2012年03月17日(土),2012年03月24日(土),2012年03月24日(土),2012年03月27日(火),2013年03月26日(火),ベガルタ仙台,大宮アルディージャ
